Espécie	Nome Popular	Sinonímia	Família	Bioma	Formação Vegetal	Fitofisionomias	Presença nos estados	Período de coleta de sementes	Beneficiamento de sementes	Porcentagem de germinação	Substrato da muda	Desenvolvimento da muda no viveiro	Número de sementes/kg	Armazenamento	Semeadura	Nível de sombreamento da muda no viveiro	Tolerância a Sombra	Estratégia ecológica de ocupação	Desenvolvimento da muda no campo	Recomendação de adubação no plantio no campo	Porte da planta	Período de floração	Período de frutificação	Uso Econômico	Caducifolia	Polinização	Dispersão
Alibertia edulis(Rich.) A.Rich.	Marmelada, Marmelada-olho-de-boi, Marmela-de-bola, Bola, Marmelada-de-bezerro, Puruí, Puruizinho, Marmelada-de-cavalo, Apuruí, Marmelada-de-cachorro, Arapuruí, Goiaba-preta	Genipa edulis Rich., Alibertia oligantha K.Schum., Alibertia panamensis L.Riley, Amaioua utilis Baill., Borojoa lanceolata (Cham.) Cuatrec., Thieleodoxa lanceolata Cham., Amaioua edulis (Rich.) Baill., Cordiera edulis (Rich.) Kuntze, Gardenia edulis (Rich.) Poir., Sabicea edulis (Rich.) Seem. ex B.D.Jacks.	Rubiaceae	Cerrado, Pantanal	Florestal, Savânica	Cerrado Típico, Cerradão, Chaco, Mata Ciliar, Mata Ripária, Mata Semidecídua, Mata de Galeria, Vereda	AC, AM, AP, BA, DF, MA, MG, MS, MT, PA, PI, SP, TO	Cerrado - dez -jan  ; Pantanal -  dez -jan	Os frutos devem ser colhidos diretamente da árvore quando iniciarem a queda espontânea (coloração escura do fruto), ou recolhidos no chão. Em seguida deixá-los amontoados em saco plástico até o apodrecimento parcial de sua polpa para facilitar a separação das sementes através da lavagem em água corrente.	50 a 80% (boa)	"


T1 Cerrado (BDPF = BEM DRENADO POUCO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	2300 a 43800	De um a dois anos em câmara fria.	Indireta em sementeira	Pleno Sol	INDIFERENTE (Tolerante no início do ciclo)	Diversidade	Rápido (entre 30 e 100 cm/ano)	P2=> BDPF: espécies de Cerrado (Ex.: Caryocar brasiliense, Eugenia dysenterica)	Arvoreta (≤  3 metros)	Cerrado - out-dez ; Pantanal -  out-dez	Cerrado - dez-fev ; Pantanal -  dez-fev	Alimentício, Forrageiro, Madeireiro, Ornamental	SIM	Abelhas, moscas	Zoocoria (Fauna)
Alibertia sorbilisDucke	Puruí-grande, Borojó	Borojoa sorbilis (Ducke) Cuatrec., Thieleodoxa sorbilis (Huber ex Ducke) Ducke	Rubiaceae	Amazônia	Florestal	Mata de Várzea, Terra Firme	AC, AM, PA, RO	jul-out	Colher os frutos diretamente da árvore quando maduros. Em seguida, despolpar manualmente em água corrente com peneira, deixando-se as sementes secarem a sombra para posterior semeadura.		"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)		De um a dois anos em câmara fria.	Indireta em sementeira		NÃO (Pioneira típica)	Recobrimento	Lento (até 30 cm/ano)	**Amazônia S01	Arvoreta (≤  3 metros)	jan-mar	jul-out	Alimentício	NÃO	abelhas	Zoocoria (Fauna)
Allantoma lineata(Mart. ex O.Berg) Miers	Seru	Allantoma cylindrica Miers, Allantoma dictyocarpa (Mart. ex O.Berg) Miers, Allantoma dilatata R.Knuth, Allantoma impressa R.Knuth, Allantoma macrocarpa (Mart. ex O.Berg) Miers, Goeldinia riparia Huber, Allantoma scutellata Miers, Allantoma torulosa Miers, Couratari aulacocarpa Mart. ex O.Berg, Couratari dictyocarpa Mart. ex O.Berg, Couratari lineata Mart. ex, Allantoma aulacocarpa (Mart. ex O.Berg) Miers O.Berg, Couratari macrocarpa Mart. ex O.Berg, Goeldinia ovatifolia Huber, Allantoma burchelliana Miers, Allantoma caudata R.Knuth, Allantoma corbula Miers	Lecythidaceae	Amazônia	Florestal	Mata Ciliar, Mata de Várzea	AM, PA	mai-ago	Colher os frutos (cápsula) diretamente da árvore quando iniciarem a abertura espontânea. Em seguida, deixá-los ao sol para completarem sua abertura e a liberação das sementes.	10 a 19% (baixa)	"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)	220	Tempo indeterminado em câmara fria.	Indireta em sementeira	50%	INDIFERENTE (Tolerante no início do ciclo)	Recobrimento	Rápido (entre 30 e 100 cm/ano)	**Amazônia S01	Árvore (> 3 metros)	out-dez	jan-ago		NÃO	Abelhas, besouros	Autocoria
Allophylus edulis(A.St.-Hil. et al.) Hieron. ex Niederl.	Fruta-de-faraó, Vacum, Chau-chau, Baga-de-morcego, Olho-de-pombo, Quebra-queixo, Murta-vermelha, Fruta-de-pavó, No AC: Vela-branca, Na BA: Leiteira, Em MT: Pau-pombo E Três-folhas, Em MG: Pau-pombo, Balãozinho E Visgueiro, No PR: Chal-chal, Cuncum, Vacum E Vacunzeiro, No RS E SC: Baga-de-morcego, Chal-chal, Vacum, Em SP: Amarelinho, Beira-campo, Fruta-de-faraó, Fruta-de-pavão, Fruta-do-pompo, E Três-folhas.		Sapindaceae	Caatinga, Mata Atlântica, Pampa	Florestal, Savânica	Caatinga Arborea, Cerradão, Floresta Estacional, Floresta Estacional Semidecidual, Floresta Ombrófila Densa, Floresta Ombrófila Mista, Mata Brejo de Altitude, Mata Ciliar, Restinga, Vegetaçao Savanóide	AL, BA, CE, ES, GO, MA, MG, MS, PA, PB, PE, PI, PR, RJ, RN, RS, SC, SE, SP, TO	Mata Atlântica - Out - Nov(SC), Out - Dez (SP); Dez (GO); Nov - Fev (RS); Nov - Mar (PR)	Os frutos devem ser colhidos quando adquirirem coloração avermelhada. Em seguida devem ser macerados e despolpados em água corrente.	> 80% (ótima)	"


Compostos orgânicos (esterco bovino, casca de eucalipto, bagaço de cana) + terra + vermiculita. Mais informações no MANUAL TÉCNICO PARA A RESTAURAÇÃO DE ÁREAS DEGRADADAS NO ESTADO DO RIO DE JANEIRO (Moraes et al., 2012).

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)	18436 a 29850	Não devem ser armazenadas, pois são recalcitrantes.	Indireta em sementeira		NÃO (Pioneira típica)	Diversidade	Muito Rápido ( > 100 cm/ano)		Árvore (> 3 metros)	Mata Atlântica - Jul - Set (SP); Jul - Dez (PR); Jul - Nov (SC); Set - Nov (RS);	Mata Atlântica - out - nov; Pampa - nov-dez	Alimentício, Latex, Madeireiro, Medicinal, Oleaginoso, Ornamental	SIM	Abelhas	Zoocoria (Fauna)
Aloysia gratissima(Gillies & Hook.) Tronc.	Ervas-santa, Garupá		Verbenaceae	Pampa	Campestre, Florestal	Campo Seco, Campo Úmido, Mata Ciliar	BA, ES, GO, MG, PR, RJ, RS, SC, SP		reproduz-se por estaquia. Lentidão na propagação por sementes.		"




																
								[Saiba mais]
								
								



"		3448000				INDIFERENTE (Tolerante no início do ciclo)	Recobrimento			Arvoreta (≤  3 metros)			Aromático, Madeireiro, Medicinal, Melífero, Oleaginoso	NÃO	Insetos	Anemocoria (vento)
Aloysia virgata(Ruiz & Pav.) Juss.	Lixeira, Lixeirinha, Cambará, Lixa	Aloysia urticoides Cham., Aloysia virgata var.arguentedentata Moldenke, Aloysia virgata var. elliptica (Briq.) Moldenke, Aloysia virgata var. laxa (Chodat) Moldenke, Aloysia virgata var. platyphylla (Briq.) Moldenke, Lippia arborea Rojas Acosta, Lippia urticoides (Cham.) Steud., Lippia urticoides var. laxa Chodat, Verbena virgata Ruiz & Pav.	Verbenaceae	Mata Atlântica, Pantanal	Florestal	Floresta Estacional Decidual, Floresta Estacional Semidecidual, Floresta Ombrófila Densa, Floresta Ombrófila Mista, Mata Seca (decídua), Mata Semidecídua	BA, DF, ES, GO, MA, MG, MS, MT, PR, RJ, RS, SE	Mata Atlântica - out - nov ; Pantanal -  out-nov	Colher as inflorescências inteiras logo após a secagem das flores, quando os frutos caem facilmente a um leve toque. Em seguida bater o material colhido em lona plática e separar os peduncúlos. Devido ao pequeno peso das sementes, protegê-las do vento durante seu preparo.	> 80% (ótima)	"


Compostos orgânicos (esterco bovino, casca de eucalipto, bagaço de cana) + terra + vermiculita. Mais informações no MANUAL TÉCNICO PARA A RESTAURAÇÃO DE ÁREAS DEGRADADAS NO ESTADO DO RIO DE JANEIRO (Moraes et al., 2012).

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	6670000	Tempo indeterminado em câmara fria.	Indireta em sementeira	50%	NÃO (Pioneira típica)	Recobrimento	Rápido (entre 30 e 100 cm/ano)		Arbusto	Mata Atlântica - ago - nov ; Pantanal -  set a nov, às vezes abr - jun (Pott & Pott, 1994)	Mata Atlântica - out ; Pantanal -  out a nov (Lorenzi, 1998a)	Alimentício, Aromático, Forrageiro, Madeireiro, Medicinal, Oleaginoso, Ornamental	SIM	Abelhas	Autocoria
Amanoa guianensisAubl.	Amanoa, Puruí	Amanoa bracteata Rich. ex Baill., Amanoa grandiflora (Müll.Arg.) Müll.Arg., Amanoa guianensis var. genuina Müll.Arg., Amanoa guianensis var. grandiflora Müll.Arg., Amanoa guianensis var. oblonga Benth. ex Baill., Amanoa guianensis var. poeppigii Müll.Arg., Amanoa macrocarpa Cuatrec., Amanoa potamophila Croizat	Phyllanthaceae	Amazônia	Florestal, Savânica	Campinarana, Mata de Várzea, Savana, Terra Firme	AC, AM, AP, BA, MA, MS, MT, PA, PE, RO, RR, SE	jan-fev	Colher os frutos diretamente da árvore antes da abertura natural. Em seguida, devem ser deixadas para secar à sombra sobre lona e sob tela fina, o que ajuda a evitar a perda de sementes.	50 a 80% (boa)	"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"		1500		Indireta em sementeira	50%		Diversidade		**Amazônia S01	Árvore (> 3 metros)	ago-set	jan-fev		NÃO	Abelhas	Autocoria
Amburana cearensis(Allemão) A.C.Sm	Cumaru, Amburana, Amburana-de-cheiro, Angelim, Baru, Cabocla, Cerejeira, Cerejeira-rajada, Cumaré, Cumaru-das-caatingas, Cumaru-de-cheiro, Cumaru-do-ceará, Cumbaru, Cumbaru-das-caatingas, Emburana, Emburana-de-cheiro, Imburana, Imburana-brava, Imburana-cheirosa, Imburana-de-cheiro, Louro-ingá, Umburana, Umburana-de-cheiro, Umburana-lisa, Umburana-macho, Umburana-vermelha. Na Aegentina: Roble, Criollo, Na Bolivia: Tumi, No Paraguai: Palo Trébol, No Peru: Ishpingo.	Torresea cearensis Allemão, Amburana claudii Schwacke & Taub.	Fabaceae	Caatinga, Cerrado, Pantanal	Florestal, Savânica	Caatinga Arborea, Chaco, Mata Seca, Mata Seca (decídua)	AL, BA, CE, DF, ES, GO, MA, MG, MS, PB, PE, PI, RN, SE, SP, TO	Cerrado - set-out ; Pantanal -  set-out; Caatinga - ago - set	"Colher frutos diretamente da árvore, quando iniciar a queda espontânea, ou recolhê-los no chão, após a queda. Secar frutos ao sol; separar ""asas"" para semear."	50 a 80% (boa)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)	1600	Tempo indeterminado em câmara fria.	Direta em recipientes individuais	Pleno Sol	NÃO (Pioneira típica)	Diversidade	Lento (até 30 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - mar-jun ; Pantanal -  mar-jun; Caatinga - mai - jul	Cerrado - set-out ; Pantanal -  set-out; Caatinga - jul - set	Artesanal, Aromático, Condimento, Cosmético, Madeireiro, Medicinal, Melífero, Ornamental	SIM	Abelhas	Anemocoria (vento)
Anacardium giganteumHanc. Ex Engl.	Caju-Açu, Caju-da-mata, Caju, Caju-bravo, Cajueiro-da-mata, Cajuí, Cajuí-da-mata	Anacardium giganteum Loudon ex Steudel	Anacardiaceae	Amazônia	Florestal	Terra Firme	AC, AM, MA, MT, PA, RO, RR	abr/set	O verdadeiro fruto (castanha) deve ser colhido diretamente da árvore ou no chão quando iniciarem a queda espontânea. Separar a castanha da parte suculenta (pseudofruto). Antes de semear recomenda-se deixar as castanhas em repouso dentro da água durante 48h, trocando-se a água a cada 8h. A castanha assim preparada está pronta para ser semeada.	> 80% (ótima)	"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	350	Tempo indeterminado em câmara fria.	Direta em recipientes individuais	50%	SIM (Tolerante em todo o ciclo de vida)	Diversidade		**Amazônia S01	Árvore (> 3 metros)	jun-ago	out-nov	Alimentício, Madeireiro, Medicinal	NÃO	Abelhas	Zoocoria (Fauna)
Anacardium humileA.St.-Hil.	Cajuzinho, Caju, Caju-do-cerrado, Cajuzinho-do-campo, Cajuí	Anacardium pumilum A.St.-Hil. ex Engl.	Anacardiaceae	Cerrado, Pantanal	Campestre, Florestal, Savânica	Campo Rupestre, Campo Sujo, Cerrado Rupestre, Cerrado Típico, Cerradão, Parque de Cerrado	BA, DF, GO, MG, MS, MT, PR, RO, SP, TO	Cerrado - out -nov   ; Pantanal -  nov-dez	O verdadeiro fruto (castanha) deve ser colhido diretamente da árvore; separando-se a castanha da parte suculenta (pseudofruto). A castanha assim preparada está pronta para ser semeada.	> 80% (ótima)	"


T1 Cerrado (BDPF = BEM DRENADO POUCO FÉRTIL)

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)	750 a 1300	Tempo indeterminado em câmara fria.	Direta em recipientes individuais	Pleno Sol	NÃO (Pioneira típica)	Diversidade	Lento (até 30 cm/ano)	P2=> BDPF: espécies de Cerrado (Ex.: Caryocar brasiliense, Eugenia dysenterica)	Arvoreta (≤  3 metros)	Cerrado - jun-ago ; Pantanal -  ago a nov (Pott & Pott, 1994)	Cerrado - set-nov ; Pantanal -  out a dez (Pott & Pott, 1994)	Alimentício, Medicinal, Melífero, Ornamental, Resina	NÃO	Abelhas	Zoocoria (fauna)
Anacardium occidentaleL.	Cajueiro, Cajuí, Cajueiro-do-cerrado, Cajueiro-do-campo	Anacardium amilcarianum Machado, Anacardium kuhlmannianum Machado, Anacardium microcarpum Ducke, Anacardium othonianum Rizzini, Anacardium rondonianum Machado	Anacardiaceae	Cerrado, Pantanal	Florestal, Savânica	Cerrado Rupestre, Cerrado Típico, Cerradão, Mata Semidecídua	AC, AL, AM, AP, BA, CE, DF, ES, GO, MA, MG, MS, MT, PA, PB, PE, PI, RJ, RN, RR, SE, SP, TO	Cerrado - set-jan ; Pantanal -  dez-jan	Os frutos completos (peduncúlo e castanha) devem ser colhidos diretamente da árvore, separando-se a castanha (verdadeiro fruto) da parte suculenta (pseudofruto). A castanha assim separada está pronta para ser semeada.	> 80% (ótima)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	240	Tempo indeterminado em câmara fria.	Direta em recipientes individuais	Pleno Sol	NÃO (Pioneira típica)	Diversidade	Rápido (entre 30 e 100 cm/ano)	P2=> BDPF: espécies de Cerrado (Ex.: Caryocar brasiliense, Eugenia dysenterica)	Árvore (> 3 metros)	Cerrado - jun-nov ; Pantanal -  jun a nov (Lorenzi, 1998a)	Cerrado - set-jan ; Pantanal -  set a jan (Lorenzi, 1998a)	Alimentício, Madeireiro, Medicinal, Melífero, Oleaginoso, Ornamental, Tintorial	SIM	Abelhas	Zoocoria (Fauna)
Anadenanthera colubrina(Vell.) Brenan	Angico-branco, Angico, Angico-branco-liso, Curupaí, Curupaíba, Angico-coco, Angico-escuro, Angico-liso, Angico-vermelho, Cambuí-angico		Fabaceae	Caatinga, Cerrado, Mata Atlântica	Campestre, Florestal, Savânica	Caatinga Arborea, Caatinga Arbustiva, Caatinga Ciliar, Floresta Estacional Semidecidual, Floresta Ombrófila Densa, Formações Rochosas, Mata Brejo de Altitude, Mata Ciliar, Mata Seca, Mata de Galeria	BA, CE, DF, ES, GO, MG, MS, MT, PB, PE, PI, PR, RJ, RN, SE, SP	Cerrado - set -nov   ; Mata Atlântica - jul - ago; Caatinga - jul - nov	Os frutos devem ser coletados após início da abertura espontânea, quando começa a disseminação das sementes. Em seguida, devem ser levados ao sol para para completar a abertura e liberação das sementes.	> 80% (ótima)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Muito Rápido ( > 100 cm/ano)	15600	Tempo indeterminado em câmara fria.	Direta em recipientes individuais	Pleno Sol	INDIFERENTE (Tolerante no início do ciclo)	Diversidade	Muito Rápido ( > 100 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - set-fev ; Mata Atlântica - nov - jan; Caatinga - set - dez	Cerrado - set-nov ; Mata Atlântica - jan - abr; Caatinga - mar - dez	Artesanal, Forrageiro, Madeireiro, Medicinal, Melífero, Ornamental, Resina, Tanífero, Toxico Para Animais	SIM	Abelhas	Autocoria
Anadenanthera colubrina var. cebil(Griseb.) Altschul	Angico, Angico-preto, Angico-roxo, Angico-vermelho, Angico-Branco	Acacia colubrina Martius, Anadenanthera colubrine (Vellozo) Brenan, Mimosa colubrina Vellozo, Piptadenia colubrina (Vellozo) Bentham	Fabaceae	Pantanal	Florestal, Savânica	Cerradão, Chaco, Mata Seca (decídua), Mata Semidecídua	BA, CE, DF, GO, MG, MS, MT, PB, PE, PI, RN, SE	Pantanal -  mai a out	Coleta de frutos na árvore. Os frutos devem ser coletados quando começa a disseminação das sementes (Carvalho, 2003).	> 80% (ótima)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	15600		Direta em recipientes individuais	50%	NÃO (Pioneira típica)	Recobrimento	Rápido (entre 30 e 100 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Pantanal -  jul até nov (Pott & Pott, 1994)	Pantanal -  Vagem: mai até nov (Pott & Pott, 1994)	Madeireiro, Medicinal, Melífero, Ornamental, Tanífero, Toxico Para Animais	SIM	Abelhas e diversos insetos pequenos (Carvalho, 2003)	Autocoria
Anadenanthera peregrina(L.) Speg.	Angico Preto, Angico, Angico-do-campo, Angico-prego, Angico-pururuca, Angico-vermelho, Barbatimão, Monjoleiro		Fabaceae	Cerrado, Mata Atlântica	Florestal	Cerradão, Floresta Estacional Semidecidual, Floresta Ombrófila Densa, Mata Seca, Mata de Galeria	AC, AM, BA, DF, GO, MG, MS, MT, PA, RJ, RR, SP	Cerrado - set -nov  ; Mata Atlântica - ago - nov	Os frutos devem ser coletados após início da abertura espontânea, quando começa a disseminação das sementes. Em seguida, devem ser postos em ambiente ventilado, para a deiscência.	> 80% (ótima)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Muito Rápido ( > 100 cm/ano)	8600 a 15600	Tempo indeterminado em câmara fria.	Direta em recipientes individuais	Pleno Sol	SIM (Tolerante em todo o ciclo de vida)	Diversidade	Muito Rápido ( > 100 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - set-nov ; Mata Atlântica - set - fev	Cerrado - set-nov ; Mata Atlântica - jun  - ago	Madeireiro, Medicinal, Melífero, Tanífero	SIM	Abelhas	Autocoria
Andira anthelmia(Vell.) J.F.Macbr.	Angelim-Lombriga, Garacuí, Angelim, Angelim-amargoso, Pau-de-morcego	Andira stipulacea Benth.	Fabaceae	Mata Atlântica	Florestal, Savânica	Floresta Ombrófila Densa, Restinga Arbórea/Arbustiva	AL, BA, ES, MG, PB, PI, PR, RJ, RN, SC, SE, SP	Mata Atlântica - fev - mar	Os frutos quando obtidos podem ser diretamente utilizados para a semeadura. Não há necessidade da retirada do pericarpo.	> 80% (ótima)	"


Compostos orgânicos (esterco bovino, casca de eucalipto, bagaço de cana) + terra + vermiculita. Mais informações no MANUAL TÉCNICO PARA A RESTAURAÇÃO DE ÁREAS DEGRADADAS NO ESTADO DO RIO DE JANEIRO (Moraes et al., 2012).

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)	60	Por sua semente apresentar comportamento recalcitrante, não deve ser armazenada.	Direta em recipientes individuais		SIM (Tolerante em todo o ciclo de vida)	Diversidade			Arvoreta (≤  3 metros)	Mata Atlântica - out - nov	Mata Atlântica - nov - fev	Alimentício, Latex, Madeireiro, Medicinal, Oleaginoso, Ornamental	SIM	Abelhas	Zoocoria (fauna)
