id,Espécie,Nome Popular,Sinonímia,Gênero,Família,Bioma,Formação Vegetal,Fitofisionomias,Presença nos estados,Período de coleta de sementes,Beneficiamento de sementes,Porcentagem de germinação,Substrato da muda,Desenvolvimento da muda no viveiro,Número de sementes/kg,Armazenamento,Semeadura,Nível de sombreamento da muda no viveiro,Tolerância a Sombra,Estratégia ecológica de ocupação,Desenvolvimento da muda no campo,Recomendação de adubação no plantio no campo,Porte da planta,Período de floração,Período de frutificação,Uso Econômico,Caducifolia,Polinização,Dispersão
34,Anacardium humile,Cajuzinho|Caju|Caju-do-cerrado|Cajuzinho-do-campo|Cajuí,Anacardium pumilum,Anacardium,Anacardiaceae,cerrado|pantanal,campestre|florestal|savanica,campo rupestre|campo sujo|cerrado rupestre|cerrado tipico|cerradao|parque de cerrado,ba|df|go|mg|ms|mt|pr|ro|sp|to,cerrado: (out-nov); pantanal: (nov-dez),O verdadeiro fruto (castanha) deve ser colhido diretamente da árvore; separando-se a castanha da parte suculenta (pseudofruto). A castanha assim preparada está pronta para ser semeada.,4.0,t1,0.0,1.025,Tempo indeterminado em câmara fria.,2.0,3.0,0.0,diversidade,0.0,p2,arvoreta,cerrado: (jun-ago); pantanal: (ago-nov),cerrado: (set-nov); pantanal: (out-dez),alimenticio|medicinal|melifero|ornamental|resina,0.0,abelhas,zoocoria
35,Anacardium occidentale,Cajueiro|Cajuí|Cajueiro-do-cerrado|Cajueiro-do-campo,Anacardium amilcarianum|Anacardium kuhlmannianum|Anacardium microcarpum|Anacardium othonianum|Anacardium rondonianum,Anacardium,Anacardiaceae,cerrado|pantanal,florestal|savanica,cerrado rupestre|cerrado tipico|cerradao|mata semidecidua,ac|al|am|ap|ba|ce|df|es|go|ma|mg|ms|mt|pa|pb|pe|pi|rj|rn|rr|se|sp|to,cerrado: (set-jan); pantanal: (dez-jan),"Os frutos completos (peduncúlo e castanha) devem ser colhidos diretamente da árvore, separando-se a castanha (verdadeiro fruto) da parte suculenta (pseudofruto). A castanha assim separada está pronta para ser semeada.",4.0,t3,1.0,0.24,Tempo indeterminado em câmara fria.,2.0,3.0,0.0,diversidade,1.0,p2,arvore,cerrado: (jun-nov); pantanal: (jun-nov),cerrado: (set-jan); pantanal: (set-jan),alimenticio|madeireiro|medicinal|melifero|oleaginoso|ornamental|tintorial,1.0,abelhas,zoocoria
36,Anadenanthera colubrina,Angico-branco|Angico|Angico-branco-liso|Curupaí|Curupaíba|Angico-coco|Angico-escuro|Angico-liso|Angico-vermelho|Cambuí-angico,,Anadenanthera,Fabaceae,caatinga|cerrado|mata atlantica,campestre|florestal|savanica,caatinga arborea|caatinga arbustiva|caatinga ciliar|floresta estacional semidecidual|floresta ombrofila densa|formacoes rochosas|mata brejo de altitude|mata ciliar|mata seca|mata de galeria,ba|ce|df|es|go|mg|ms|mt|pb|pe|pi|pr|rj|rn|se|sp,cerrado: (set-nov); mata atlantica: (jul-ago); caatinga: (jul-nov),"Os frutos devem ser coletados após início da abertura espontânea, quando começa a disseminação das sementes. Em seguida, devem ser levados ao sol para para completar a abertura e liberação das sementes.",4.0,t3,2.0,15.6,Tempo indeterminado em câmara fria.,2.0,3.0,2.0,diversidade,2.0,p3,arvore,cerrado: (set-fev); mata atlantica: (nov-jan); caatinga: (set-dez),cerrado: (set-nov); mata atlantica: (jan-abr); caatinga: (mar-dez),artesanal|forrageiro|madeireiro|medicinal|melifero|ornamental|resina|tanifero|toxico para animais,1.0,abelhas,autocoria
37,Anadenanthera colubrina,Angico|Angico-preto|Angico-roxo|Angico-vermelho|Angico-Branco,Acacia colubrina|Anadenanthera colubrine|Mimosa colubrina|Piptadenia colubrina,Anadenanthera,Fabaceae,pantanal,florestal|savanica,cerradao|chaco|mata seca (decidua)|mata semidecidua,ba|ce|df|go|mg|ms|mt|pb|pe|pi|rn|se,pantanal: (mai-out),"Coleta de frutos na árvore. Os frutos devem ser coletados quando começa a disseminação das sementes (Carvalho, 2003).",4.0,t3,1.0,15.6,,2.0,1.0,0.0,recobrimento,1.0,p3,arvore,pantanal: (jul-nov),pantanal: (mai-nov),madeireiro|medicinal|melifero|ornamental|tanifero|toxico para animais,1.0,abelhas|insetos pequenos,autocoria
38,Anadenanthera peregrina,Angico Preto|Angico|Angico-do-campo|Angico-prego|Angico-pururuca|Angico-vermelho|Barbatimão|Monjoleiro,,Anadenanthera,Fabaceae,cerrado|mata atlantica,florestal,cerradao|floresta estacional semidecidual|floresta ombrofila densa|mata seca|mata de galeria,ac|am|ba|df|go|mg|ms|mt|pa|rj|rr|sp,cerrado: (set-nov); mata atlantica: (ago-nov),"Os frutos devem ser coletados após início da abertura espontânea, quando começa a disseminação das sementes. Em seguida, devem ser postos em ambiente ventilado, para a deiscência.",4.0,t3,2.0,12.1,Tempo indeterminado em câmara fria.,2.0,3.0,1.0,diversidade,2.0,p3,arvore,cerrado: (set-nov); mata atlantica: (set-fev),cerrado: (set-nov); mata atlantica: (jun-ago),madeireiro|medicinal|melifero|tanifero,1.0,abelhas,autocoria
39,Andira anthelmia,Angelim-Lombriga|Garacuí|Angelim|Angelim-amargoso|Pau-de-morcego,Andira stipulacea,Andira,Fabaceae,mata atlantica,florestal|savanica,floresta ombrofila densa|restinga arborea/arbustiva,al|ba|es|mg|pb|pi|pr|rj|rn|sc|se|sp,mata atlantica: (fev-mar),Os frutos quando obtidos podem ser diretamente utilizados para a semeadura. Não há necessidade da retirada do pericarpo.,4.0,ga,0.0,0.06,"Por sua semente apresentar comportamento recalcitrante, não deve ser armazenada.",2.0,,1.0,diversidade,,,arvoreta,mata atlantica: (out-nov),mata atlantica: (nov-fev),alimenticio|latex|madeireiro|medicinal|oleaginoso|ornamental,1.0,abelhas,zoocoria
40,Andira fraxinifolia,Argilim|Angelim-Doce|Angelim|Pau-angelim|Pau-de-morcego,Andira handroana|Andira pernambucensis|Andira pisonis|Andira pisonis|Andira pisonis,Andira,Fabaceae,mata atlantica,florestal|savanica,floresta estacional semidecidual|floresta ombrofila densa|restinga arborea/arbustiva,al|ba|ce|df|es|go|mg|ms|mt|pb|pe|pi|pr|rj|rn|rs|sc|se|sp,mata atlantica: (fev-abr),Os frutos quando obtidos podem ser diretamente utilizados para a semeadura. Não há necessidade da retirada do pericarpo.,4.0,ga,0.0,0.07,"Por sua semente apresentar comportamento recalcitrante, não deve ser armazenada.",2.0,,1.0,diversidade,0.0,,arvore,mata atlantica: (nov-dez),mata atlantica: <mg (jan-mar)><pr (mai-jul)><sp (jun-jul)>,latex|madeireiro|medicinal|oleaginoso|ornamental,0.0,abelhas,zoocoria
41,Andira inermis,Morcegueira|Uxi-de-morcego,Andira excelsa|Andira jamaicensis|Andira riparia|Geoffroea inermis|Geoffroea jamaicensis|Geoffroea jamaicensis|Glycyrrhiza undulata|Machaerium foliosum|Vouacapoua inermis,Andira,Fabaceae,amazonia|pantanal,campestre|florestal,campo inundavel|mata riparia|mata semidecidua|mata de varzea|terra firme,ac|am|ap|go|ma|mg|ms|mt|pr|sc,all: (nov-jan),"Colher os frutos diretamente da árvore quando iniciarem a queda espontânea ou recolhê-los no chão após a queda. Estes já podem ser considerados como semente para fins de semeadura (Lorenzi, 1998b).",3.0,t4,,0.074,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,2.0,,2.0,diversidade,,p4,arvore,all: (out-dez),all: (nov-jan),artesanal|madeireiro|medicinal|melifero|ornamental,0.0,abelhas,zoocoria
42,Andropogon bicornis,Capim-rabo-de-cavalo|Campim-rabo-de-burro|Capim-rabo-de-raposa|Capim-vassoura|Capim-peba|Capim-andaime|Capim-rabo-de-boi,Anatherum bicorne|Andropogon brevicornis|Saccharum bicorne|Sorghum bicorne,Andropogon,Poaceae,cerrado,campestre|savanica,campo limpo|vereda,ac|al|am|ap|ba|ce|df|es|go|ma|mg|ms|mt|pa|pb|pe|pi|pr|rj|ro|rr|rs|sc|se|sp|to,cerrado: (abr-out),Coleta dos pendões com foice de mão. Observar que as sementes devem estar dispersando (soltando naturalmente dos pendões). Os pendões são passados em máquina trituradora de palha (ensiladeira) para desagregação das sementes.,1.0,,,430.0,,1.0,,,,,,erva,cerrado: (dez-mai),cerrado: (abr-out),,0.0,vento,anemocoria
43,Andropogon fastigiatus,Capim-andropogon,Andropogon diatherus|Andropogon hochstetteri|Cymbachne fastigiata|Diectomis fastigiata|Heteropogon hochstetteri|Pollinia fastigiata|Sorghum fastigiatum,Andropogon,Poaceae,cerrado,campestre,campo limpo,ba|ce|df|go|mg|ms|mt|pa|pb|pe|pi|rr|to,cerrado: (mai-jul),Coleta dos pendões com foice de mão. Observar que as sementes devem estar dispersando (soltando naturalmente dos pendões). Os pendões são passados em máquina trituradora de palha (ensiladeira) para desagregação das sementes.,0.0,,,900.0,,,,,,,,erva,cerrado: (abr-mai),cerrado: (mai-jul),,0.0,vento,anemocoria
44,Andropogon lateralis,Capim-caninha,,Andropogon,Poaceae,pampa,campestre,campo seco|campo umido,am|df|go|ma|mg|ms|mt|pr|rj|rs|sc|sp,all: (abr-abr),,,,,,,,,,,,,erva,all: (nov-mar),,forrageiro,,,
45,Andropogon leucostachyus,Capim-membeca,Anatherum domingense|Anatherum virginicum|Andropogon domingensis|Andropogon lanuginosus|Andropogon virginicus|Sorghum leucostachyus,Andropogon,Poaceae,cerrado,campestre|savanica,campo limpo|campo rupestre|vereda,ac|al|am|ap|ba|ce|df|es|go|ma|mg|ms|mt|pa|pb|pe|pi|pr|rj|rn|ro|rr|rs|sc|se|sp|to,cerrado: (mai-jul),Coleta dos pendões com foice de mão. Observar que as sementes devem estar dispersando (soltando naturalmente dos pendões). Os pendões são passados em máquina trituradora de palha (ensiladeira) para desagregação das sementes.,2.0,,,,,1.0,,,,,,erva,cerrado: (nov-abr),cerrado: (dez-jul),,0.0,vento,anemocoria
46,Andropogon selloanus,Capim-pluma-branca,Anatherum virginicum|Andropogon leucostachyus|Euklastaxon tenuifolius,Andropogon,Poaceae,cerrado,campestre|savanica,campo limpo|campo sujo|cerrado tipico|vereda,am|ba|ce|df|es|go|ma|mg|ms|mt|pa|pb|pe|pi|pr|rj|rn|rr|rs|sc|se|sp|to,cerrado: (jan-abr),Coleta dos pendões com foice de mão. Observar que as sementes devem estar dispersando (soltando naturalmente dos pendões). Os pendões são passados em máquina trituradora de palha (ensiladeira) para desagregação das sementes.,2.0,,,1990.0,,1.0,,,,,,erva,cerrado: (out-mai),cerrado: (jan-abr),,0.0,vento,anemocoria
47,Andropogon virgatus,,Anatherum inerme|Anatherum spathiflorum|Anatherum virgatum|Andropogon spathiflorus|Andropogon virgatus|Hypogynium spathiflorum|Hypogynium virgatum,Andropogon,Poaceae,cerrado,campestre|savanica,campo limpo|parque de cerrado|vereda,df|mg|ms|pr|rs|sc,cerrado: (ago-mar),Coleta dos pendões com foice de mão. Observar que as sementes devem estar dispersando (soltando naturalmente dos pendões). Os pendões são passados em máquina trituradora de palha (ensiladeira) para desagregação das sementes.,3.0,,,2585.0,,1.0,,,,,,erva,cerrado: (fev-nov),cerrado: (ago-mar),forrageiro,0.0,vento,anemocoria
48,Aniba rosiodora,Pau-rosa|Pau-rosa-mulatinho|Pau-rosa-itaúba|Pau-rosa-embaúba|Aniba Rosaeodora,,Aniba,Lauraceae,amazonia,florestal,mata ciliar|terra firme,am|ap|pa,all: (set-mai),Colher os frutos diretamente na árvore quando maduros. Deixar os frutos durante alguns dias em saco plástico para decomposição parcial da polpa e despolpar com o auxilio de água corrente e peneira para obtenção das sementes.,1.0,s1,1.0,0.75,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,1.0,1.0,,diversidade,,s01,arvore,all: (mai-jun),all: (set-out),aromatico|cosmetico|madeireiro|oleaginoso,0.0,abelhas,zoocoria
49,Anisocapparis speciosa,Mangaba-brava|Pau-verde,Capparis speciosa|Capparis speciosa,Anisocapparis,Capparaceae,pantanal,florestal|savanica,chaco|mata riparia|mata seca (decidua)|mata semidecidua,ms,pantanal: (nov-fev),"Colher os frutos diretamente da árvore quando iniciarem a queda espontânea, ou recolhê-los no chão após a queda. Em seguida despolpá-los manualmente sob água corrente dentro de uma peneira, deixando-se as sementes secar na sombra. Plantar em seguida.",,t3,,,,1.0,,0.0,diversidade,,,arvore,pantanal: (ago-dez),pantanal: (nov-fev),alimenticio|forrageiro|melifero|ornamental,0.0,abelhas,zoocoria
50,Annona cacans,Anona-cagona|Coração-de-boi|Quaresma|Araticum-de-paca|Araticum-cagão|Cortição,,Annona,Annonaceae,mata atlantica,florestal,floresta estacional semidecidual|floresta ombrofila densa,ba|es|mg|ms|pb|pr|rj|rs|se|sp,mata atlantica: (jan-mar),"Colher os frutos diretamente na árvore quando maduros, deixá-los alguns dias amontoados para iniciar o apodrecimento da polpa e facilitar a remoção das sementes através do esfregaço manual em água corrente dentro de uma peneira.",2.0,ga,1.0,5.37,Evitar o armazenamento.,1.0,,0.0,diversidade,1.0,,arvore,mata atlantica: (set-nov),mata atlantica: (nov-jan),madeireiro|oleaginoso|ornamental,1.0,besouros,zoocoria
51,Annona coriacea,Araticum|Marôlo|Araticum-liso|Marolinho|Araticum-do-campo|Cabeça-de-negro,,Annona,Annonaceae,cerrado,florestal|savanica,cerrado rupestre|cerrado tipico|cerradao|mata seca,ba|ce|df|go|ma|mg|ms|mt|pa|pb|pe|pi|pr|ro|sp|to,cerrado: (nov-dez),"Coletar frutos maduros e deixa-los em água por 24 hrs , depois esfregar em peneira com areia para retirada de polpa e separação de sementes. Em seguida lavar as sementes em água corrente e colocá-las para secar em local sombreado e ventilado. Após secagem as sementes estão prontas para serem semeadas.",2.0,t1,0.0,1.45,Tempo indeterminado em câmara fria.,1.0,3.0,0.0,diversidade,0.0,p2,arvore,cerrado: (nov-jan),cerrado: (mar-mai),alimenticio|artesanal|medicinal|ornamental,1.0,besouros,zoocoria
52,Annona crassiflora,Marolo|Araticum-cortiça|Araticum-de-boia|Araticum-dos-grandes|Araticum-do-campo|Acanga|Araticum-do-mato|Araticum|Tapanahuacanga,Annona macrocarpa,Annona,Annonaceae,cerrado|pantanal,florestal|savanica,cerrado rupestre|cerrado tipico|cerradao|mata seca|mata seca (decidua),ba|df|go|ma|mg|ms|mt|pa|pi|pr|sp|to,cerrado: (jan-mar); pantanal: (jan-mar),"Coletar frutos maduros e deixa-los em água por 24 hrs , depois esfregar em peneira com areia para retirada de polpa e separação de sementes. Em seguida lavar as sementes em água corrente e colocá-las para secar em local sombreado e ventilado. Após secagem as sementes estão prontas para serem semeadas.",3.0,t1,0.0,1.5,Tempo indeterminado em câmara fria.,1.0,3.0,0.0,diversidade,0.0,p2,arvore,cerrado: (set-jan); pantanal: (set-jan),cerrado: (out-abr); pantanal: (out-abr),alimenticio|artesanal|cortica|madeireiro|medicinal|ornamental,1.0,besouros,zoocoria
53,Annona emarginata,Araticunzinho-da-beira-do-rio,Rollinia emarginata,Annona,Annonaceae,mata atlantica,florestal|savanica,floresta ombrofila densa|restinga arborea/arbustiva,ba|df|mg|ms|mt|pr|rs|se|sp,mata atlantica: (jan-abr),Colher os frutos diretamente na árvore quando maduros e lavados em água corrente para retirada do arilo trasparente.,4.0,ga,,2.2,,2.0,,0.0,diversidade,,,arvore,mata atlantica: (set-fev),mata atlantica: (jan-jan),latex,1.0,besouros,zoocoria
54,Annona montana,Jaca-de-pobre,Annona marcgravii|Annona pisonis,Annona,Annonaceae,amazonia|cerrado,florestal|savanica,cerrado rupestre|cerradao|mata de varzea|terra firme,ac|al|am|ba|ce|es|go|ma|mg|ms|mt|pa|pe|pr|rj|ro|rr|sp|to,cerrado: (fev-abr); amazonia: (fev-ago),"Coletar frutos maduros e deixa-los em água por 24 hrs , depois esfregar em peneira com areia para retirada de polpa e separação de sementes. Em seguida lavar as sementes em água corrente e colocá-las para secar em local sombreado e ventilado. Após secagem as sementes estão prontas para serem semeadas.",3.0,t3,2.0,,Tempo indeterminado em câmara fria.,1.0,1.0,2.0,diversidade,1.0,p2,arvoreta,cerrado: (nov-dez); amazonia: (set-fev),cerrado: (fev-abr); amazonia: (fev-ago),alimenticio,0.0,besouros,zoocoria
55,Annona mucosa,Araticum|Biribá|Condessa|Fruta-do-Conde|Fruta-de-Condessa|Graviola-brava,Rollinia mucosa,Annona,Annonaceae,mata atlantica,florestal,floresta ombrofila densa,ac|am|ba|mg|mt|pa|rj|rs,mata atlantica: (dez-abr),Os frutos devem ser colhidos diretamente da árvore quando estiverem maduros. Em seguida devem ser abertos e as sementes lavadas para retirada da polpa.,3.0,ga,,3.4,,2.0,,0.0,diversidade,,,arvore,mata atlantica: (jul-set),mata atlantica: (set-dez),ornamental,1.0,besouros,zoocoria
56,Annona neosalicifolia,Araticum|Cortiça|Quaresma,Rollinia salicifolia,Annona,Annonaceae,pampa,florestal,floresta estacional|mata ciliar,mt|rs|sc,,"Colher diretamente na árvore quando maduros, ou do chão. Descascar o fruto e lavar em água corrente. Necessita escarificação mecânica",,,1.0,,,2.0,,,diversidade,,,arvore,all: (out-dez),all: (fev-abr),alimenticio|artesanal|madeireiro,1.0,coleopteros,zoocoria
57,Annona neosericea,Araticum|Araticum-pecanina|Cortiça,Rollinia sericea|Rollinia dolabripetala|Rollinia sericea,Annona,Annonaceae,mata atlantica,florestal,floresta ombrofila densa,es|pr|se|sp,mata atlantica: (fev-abr),Os frutos podem ser colhidos diretamente da árvore ou do chão. Remolva a polpa através da lavagem em água corrente  após o apodrecimento parcial dos frutos.,3.0,ga,1.0,1.6,,2.0,,0.0,diversidade,,,arvore,mata atlantica: (out-dez),mata atlantica: (dez-fev),madeireiro,1.0,besouros,zoocoria
58,Annona rugulosa,Cortiça|Cortiça-de-comer|Araticum|Quaresma,Rollinia rugulosa,Annona,Annonaceae,pampa,florestal,floresta estacional,mg|pr|rs|sc|sp,,"Colher diretamente na árvore quando maduros, ou do chão. Descascar o fruto e lavar em água corrente. Necessita escarificação mecânica",2.0,,0.0,2.85,recalcitrante,2.0,,2.0,diversidade,0.0,,arvore,all: (out-dez),all: (jan-mar),alimenticio|madeireiro|medicinal|oleaginoso,1.0,coleopteros,zoocoria
59,Annona sylvatica,Araticum|Cortiça|Araticum-do-morro|Embira|Quaresma-miúda|Araticum-avadio|Fruto-da-china|Quaresma|Araticum-grande|Bananinha|Biribá,Rollinia sylvatica|Annona fagifolia|Rollinia fagifolia|Rollinia exalbida,Annona,Annonaceae,mata atlantica|pampa,florestal|savanica,floresta estacional|floresta estacional semidecidual|floresta ombrofila densa|mata ciliar|restinga|restinga arborea/arbustiva,ba|es|mg|mt|pr|rj|rs|se|sp,mata atlantica: (jan-abr),Os frutos devem ser colhidos diretamente da árvore quando estiverem maduros. Em seguida devem ser abertos e as sementes lavadas para retirada da polpa e deixar secar à sombra.,3.0,ga,1.0,2.8,Pouco tempo de armazenamento em câmara fria.,2.0,,0.0,diversidade,0.0,,arvore,mata atlantica: (set-out); pampa: (set-dez),mata atlantica: (out-jan); pampa: (jan-abr),alimenticio|forrageiro|latex|madeireiro|oleaginoso|ornamental,0.0,besouros,zoocoria
60,Antrocaryon amazonicum,Cedro-taperibá|Cedro-caiacaia|Cedroi|Jacaiacá|Cedrorana,Poupartia amazonica,Antrocaryon,Anacardiaceae,amazonia,florestal,mata ciliar|mata de varzea,ac|am|ap|pa,all: (dez-fev),Colher os frutos diretamente na árvore quando maduros ou no chão. Em seguida deixá-los amontoados em saco plástico até o apodrecimento parcial da polpa para facilitar a separação das sementes em água corrente com auxílio de peneira.,,s1,,0.125,,2.0,1.0,2.0,diversidade,,s01,arvore,all: (dez-jan),all: (abr-jun),alimenticio,1.0,morcegos,zoocoria
61,Apeiba echinata,Pente-de-macaco,Apeiba aspera|Apeiba macropetala,Apeiba,Malvaceae,amazonia,florestal,mata ciliar|terra firme,am|ap|mg|pa|ro,all: (set-nov),"Os frutos devem ser colhidos quando mudam de coloração verde para marrom clara quando iniciarem a queda espontânea, ou recolhê-los no chão após a queda. Em seguida abrir manualmente os frutos e retirar o aglutinado de sementes (miolo central). Deixar esse aglutinado secar em local arejado para facilitar a separação das sementes. Em seguida, estarão prontas para a semeadura.",1.0,s1,1.0,200.0,Tempo indeterminado em câmara fria.,1.0,1.0,2.0,diversidade,1.0,s01,arvore,all: (set-nov),all: (set-nov),madeireiro,1.0,abelhas,zoocoria
62,Apeiba tibourbou,Pente-de-macaco|Malva-pente-de-macaco|Jangada|Jangada-macho|Pau-de-jangada|Piúba|Embira-branca|Escova-de-macaco|Balseiro|Pau-de-balsa|Pente-de-macaco|Solta-cavaco|Cortiça,Apeiba cimbalaria|Apeiba hirsuta|Aubletia tibourbou|Aubletia tiburbu,Apeiba,Malvaceae,amazonia|cerrado|pantanal,florestal,cerradao|mata ciliar|mata riparia|mata seca|mata semidecidua|mata de galeria|terra firme,ac|al|am|ap|ba|ce|df|go|ma|mg|ms|mt|pa|pb|pe|pi|rj|ro|rr|se|sp|to,cerrado: (out-nov); pantanal: (out-nov); amazonia: (dez-jan),"Os frutos devem ser colhidos quando mudam de coloração verde para marrom clara quando iniciarem a queda espontânea, ou recolhê-los no chão após a queda. Em seguida abrir manualmente os frutos e retirar a massa de sementes (encontram-se aglutinadas num miolo central). Levar essa massa ao sol para secar e facilitar sua  quebra e separação das sementes. Em seguida estão prontas para a semeadura.",2.0,t3,2.0,200.0,Tempo indeterminado em câmara fria.,1.0,1.0,1.0,recobrimento,2.0,p3,arvore,cerrado: (jan-ago); pantanal: (jan-ago); amazonia: (jan-mar),cerrado: (ago-nov); pantanal: (ago-nov); amazonia: (set-nov),artesanal|madeireiro|ornamental,1.0,abelhas,zoocoria
